Modelo,F1,Precision,Recall,Latencia Promedio
LLM,0.005818652012283821,0.1956521739130435,0.0029532403609515995,0.001501170473230925
Modelo Estadístico,0.0066182405165456015,0.205,0.0033634126333059885,0.0
