Modelo,F1,Precision,Recall,Latencia Promedio
LLM,0.5204301075268817,0.3644578313253012,0.9097744360902256,1.0255387425422668
Modelo Estadístico,0.7927927927927928,0.66,0.9924812030075187,0.0
